player_id,player_name,level,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts_batting,stolen_bases,caught_stealing,left_on_base,ground_into_double_play,innings_pitched,hits_allowed,runs_allowed,earned_runs,walks_allowed,strikeouts_pitching,home_runs_allowed,inherited_runners,inherited_runners_scored,batting_average,on_base_percentage,slugging_percentage,era,whip,strike_percentage,ops,primary_position
687942,Torin Montgomery,A+,1,4,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
687957,Dustin Harris,AAA,4,18,2,4,0,0,0,1,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,NA,NA,0,0.4444444444444444,Batter
687982,Carson Jones,A,1,5,1,1,0,0,1,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,NA,NA,0,1,Batter
687985,Josh White,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,75,NA,Pitcher
688005,Francisco Urbaez,AA,1,2,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,NA,NA,0,1.1666666666666665,Batter
688005,Francisco Urbaez,AAA,1,4,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
688138,Logan Evans,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,4,0,0,0,NA,NA,NA,0,1,67.12328767123287,NA,Pitcher
688158,David Morgan,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,2,0,0,0,0,NA,NA,NA,0,1.8181818181818181,36.36363636363637,NA,Pitcher
688214,Ryan Jennings,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,4,0,0,0,NA,NA,NA,0,0.5,69.81132075471697,NA,Pitcher
688214,Ryan Jennings,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,NA,NA,NA,0,2,58.620689655172406,NA,Pitcher
688311,Drake Osborn,AA,2,5,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.2,0.3333333333333333,0.4,NA,NA,0,0.7333333333333334,Batter
688354,Hayden Minton,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,17,7,7,7,12,1,0,0,NA,NA,NA,5.625,2.142857142857143,62.342056758131896,NA,Pitcher
688363,Graham Pauley,AAA,3,14,3,3,0,0,1,3,1,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0.21428571428571427,0.26666666666666666,0.42857142857142855,NA,NA,0,0.6952380952380952,Batter
688367,Tucker Mitchell,A+,2,5,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,NA,NA,0,0.16666666666666666,Batter
688392,Terence Doston,A+,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,NA,0,0.6666666666666666,Batter
688394,Jordan Sprinkle,A+,1,4,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,NA,NA,0,0.75,Batter
688396,Zach Fruit,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,5,4,0,0,0,NA,NA,NA,4.5,1.75,50,NA,Pitcher
688427,Kolton Ingram,AAA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,5,0,0,0,NA,NA,NA,0,1,63.11369509043928,NA,Pitcher
688449,TT Bowens,AAA,1,4,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,NA,NA,0,0.75,Batter
688457,Gavin Cross,AA,3,11,1,2,0,0,0,0,1,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.25,0.18181818181818182,NA,NA,0,0.4318181818181818,Batter
688460,Josh Kasevich,AAA,2,6,1,1,0,0,0,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.4444444444444444,0.16666666666666666,NA,NA,0,0.611111111111111,Batter
688500,Stephen Paolini,A+,2,6,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,NA,NA,0,0.14285714285714285,Batter
